Amount,Use_Chip,Merchant_City,Gender,City,State,Per_Capita_Income_Zipcode,Yearly_Income_Person,Total_Debt,FICO_Score,Num_Credit_Cards,Card_Type,Credit_Limit,Fraud,Date,Age_Group
27.7,Online,ONLINE,Female,Oakfield,NY,17665,43070,14135,726,4,Debit,24295,Yes,2015-12-26,66+
25.84,Online,ONLINE,Female,Laurel,MT,19625,40012,59472,849,4,Debit,21968,Yes,2016-10-02,36-50
0.15,Online,ONLINE,Female,Lorain,OH,14880,30340,64661,552,3,Debit,21968,Yes,2008-09-04,36-50
28.26,Swipe,Coalgate,Male,Wagoner,OK,15195,30983,10019,757,5,Credit,12400,No,2003-10-20,66+
105.49,Online,ONLINE,Male,Rochester,MN,23553,40696,15691,801,6,Debit,24295,Yes,2016-09-13,66+
1.8,Swipe,Texarkana,Male,Texarkana,TX,15884,32387,65171,765,1,Debit,24295,No,2008-12-03,36-50
6.89,Swipe,Nunda,Female,North Chili,NY,22855,46599,12700,684,4,Debit,46414,No,2008-10-11,26-35
15.86,Online,ONLINE,Male,Pompano Beach,FL,37424,76305,112785,692,3,Debit,24295,Yes,2016-10-30,51-65
261,Swipe,Green Springs,Male,Mount Vernon,NY,34646,70634,155651,682,4,Debit,21968,Yes,2007-02-11,51-65
42.67,Online,ONLINE,Male,Lake Havasu City,AZ,14214,28983,36482,755,3,Debit,24295,Yes,2013-11-25,36-50
311.13,Online,ONLINE,Female,North Myrtle Beach,SC,13409,23137,4871,642,5,Debit,24295,Yes,2013-11-11,66+
19.35,Online,ONLINE,Male,Hendersonville,NC,13634,23993,2573,714,5,Debit,24295,Yes,2014-04-06,66+
-65,Swipe,Saint Charles,Female,Saint Charles,IL,33847,69007,52218,720,4,Debit,21968,No,2012-05-16,51-65
24.64,Swipe,Newport News,Male,Newport News,VA,21186,43192,33517,739,3,Debit,46414,Yes,2008-09-10,36-50
18.44,Online,ONLINE,Female,Arlington,VA,47408,96661,73401,721,2,Debit,24295,Yes,2012-04-29,26-35
345.3,Online,ONLINE,Male,Milwaukee,WI,9995,20377,12092,789,4,Debit,21968,Yes,2015-09-20,51-65
194.32,Online,ONLINE,Male,Lubbock,TX,16272,33178,92366,671,2,Debit,21968,Yes,2016-09-22,51-65
16.79,Swipe,Strasburg,Male,Cocoa,FL,19018,12796,22192,644,3,Debit,46414,Yes,2014-03-22,51-65
13.9,Chip,Woodinville,Male,Sammamish,WA,50607,103185,206422,564,1,Debit,24295,No,2017-06-26,51-65
81.13,Online,ONLINE,Female,Myrtle Beach,SC,19025,32817,27209,705,6,Debit,24295,Yes,2018-11-12,66+
96.95,Swipe,Fresno,Male,Fresno,CA,17683,28357,10400,628,2,Debit,24295,No,2013-03-31,66+
-73,Swipe,Medford,Female,Medford,NY,27376,64829,15537,664,3,Debit,21968,No,2002-07-10,51-65
30.19,Chip,Longwood,Female,Gainesville,FL,25812,52630,68559,725,4,Debit,21968,No,2015-07-26,36-50
100.89,Swipe,Yorba Linda,Female,Yorba Linda,CA,38948,99825,4344,685,4,Credit,12400,No,2016-01-31,66+
201.94,Online,ONLINE,Male,Melbourne,FL,15840,32295,72357,698,4,Debit,21968,Yes,2008-07-18,51-65
80,Chip,Vista,Female,Oceanside,CA,22050,44958,91549,787,1,Debit,24295,No,2015-05-14,36-50
21.9,Chip,Yorba Linda,Female,Yorba Linda,CA,38948,99825,4344,685,4,Debit,21968,No,2015-09-18,66+
90.37,Online,ONLINE,Female,Chicago,IL,14497,29564,54279,694,2,Debit,21968,Yes,2008-07-14,36-50
97,Swipe,Oxford,Female,Old Saybrook,CT,30281,61740,126015,583,2,Debit,24295,No,2003-08-19,51-65
-100,Swipe,Burlington,Female,Burlington,WA,19604,39969,68456,713,3,Debit,21968,No,2004-11-08,36-50
15.24,Swipe,Alpharetta,Female,Alpharetta,GA,0,1426,3154,680,3,Debit,24295,No,2013-02-02,36-50
0.09,Chip,Rome,Female,Beaverton,OR,21702,44249,103229,706,5,Debit,46414,Yes,2018-09-03,36-50
11.98,Chip,Cleveland,Female,Eastlake,OH,20155,41091,86837,695,6,Debit,46414,No,2016-07-13,26-35
43.21,Chip,Rome,Male,Orlando,FL,15849,43004,15304,761,6,Debit,21968,Yes,2018-01-31,66+
50.36,Swipe,Los Angeles,Female,Los Angeles,CA,11649,24947,1767,766,4,Credit,12400,No,2010-10-18,66+
31.4,Online,ONLINE,Female,Marion Center,PA,16071,32770,103262,641,4,Debit,46414,Yes,2013-12-13,36-50
26.96,Chip,Waynesboro,Male,Cordova,TN,29571,60292,114223,531,1,Debit,24295,No,2018-02-23,51-65
113.39,Online,ONLINE,Male,Kenner,LA,14696,29962,55000,684,3,Debit,46414,Yes,2010-11-25,36-50
250.12,Chip,Albuquerque,Male,Albuquerque,NM,15385,16611,1797,696,5,Debit,24295,No,2019-04-28,66+
130,Online,ONLINE,Female,Phoenix,AZ,22070,44992,53368,785,3,Debit,21968,Yes,2008-08-30,51-65
75.49,Chip,Rome,Female,Crown Point,IN,26168,53350,128676,685,5,Debit,21968,Yes,2018-08-29,51-65
74.89,Online,ONLINE,Male,Medford,OR,18961,38661,88636,765,3,Debit,46414,Yes,2013-09-06,36-50
108.14,Online,ONLINE,Male,Franklin,TN,36563,74550,37427,687,4,Debit,21968,Yes,2007-10-28,51-65
12.58,Chip,North Canton,Male,Dover,OH,18794,31003,23000,699,3,Debit,24295,No,2019-12-09,51-65
-80,Chip,Paragould,Male,Paragould,AR,15447,31499,45661,782,4,Debit,46414,No,2019-04-27,36-50
3.23,Online,ONLINE,Female,Barron,WI,15371,31343,49537,741,3,Debit,46414,Yes,2010-03-26,51-65
131.88,Online,ONLINE,Female,Nixa,MO,20316,41427,53773,850,3,Debit,21968,Yes,2012-01-15,51-65
125.24,Chip,Rome,Female,Iuka,IL,15976,32576,0,753,4,Debit,21968,Yes,2019-10-04,51-65
10.84,Swipe,Monroe,Male,Monroe,NY,25534,52062,97881,775,4,Credit,12400,No,2011-02-16,51-65
51.91,Swipe,Greenville,Male,Quincy,FL,15069,10142,1809,767,7,Credit,12400,Yes,2005-12-05,66+
190.76,Online,ONLINE,Male,Indianapolis,IN,32865,67008,81402,778,8,Credit,12400,Yes,2008-06-06,36-50
246.76,Online,ONLINE,Female,Menasha,WI,22277,45419,124370,721,3,Debit,46414,Yes,2016-01-02,26-35
566.75,Online,ONLINE,Male,Minneapolis,MN,40364,82295,1555,736,4,Debit,46414,Yes,2008-09-29,36-50
26.31,Swipe,Sioux Falls,Female,Sioux Falls,SD,21089,31145,5132,689,4,Debit,21968,No,1999-08-27,66+
30.83,Chip,Lynn,Female,Lynn,MA,18682,27358,13557,665,2,Debit,21968,No,2016-06-29,66+
-89,Swipe,Mesa,Female,Mesa,AZ,16829,34317,61826,610,3,Debit,21968,No,2009-12-20,36-50
6.61,Swipe,Seneca,Male,Seneca,PA,16237,33108,44044,829,2,Debit,21968,No,2006-03-25,36-50
463.35,Online,ONLINE,Female,Blytheville,AR,16689,34032,68762,769,2,Debit,21968,Yes,2016-11-13,36-50
63,Swipe,Greenfield,Female,Edinburgh,IN,17585,35854,49101,850,2,Debit,24295,No,2012-06-02,51-65
43.73,Swipe,Philadelphia,Male,Philadelphia,PA,18007,36715,74022,547,4,Credit,12400,No,2003-05-27,36-50
-280,Online,ONLINE,Male,Atlanta,GA,13059,26631,33950,805,1,Debit,24295,Yes,2010-02-23,26-35
55.31,Chip,Lahore,Male,Chicago,IL,25365,36335,28929,676,2,Debit,21968,No,2015-03-03,51-65
22.75,Online,ONLINE,Female,Atlanta,GA,25586,52172,66085,667,4,Debit,46414,Yes,2003-03-14,36-50
71.71,Online,ONLINE,Male,Amherst,OH,22261,45388,64749,723,1,Debit,24295,Yes,2010-05-25,26-35
19.03,Chip,Lancaster,Female,Lancaster,OH,18680,38088,51679,691,2,Debit,21968,No,2015-11-10,51-65
8.36,Chip,Denver,Female,Denver,CO,16459,33556,10619,799,4,Debit,24295,No,2016-04-14,51-65
186.89,Online,ONLINE,Male,Rocky Point,NY,28694,58503,37838,680,4,Debit,21968,Yes,2016-01-23,36-50
340,Swipe,Algiers,Male,Ontario,CA,16113,41904,12545,655,4,Debit,24295,Yes,2006-02-25,51-65
62.31,Online,ONLINE,Female,Shepherdsville,KY,19661,40087,17392,712,2,Debit,21968,Yes,2016-07-12,36-50
22.26,Online,ONLINE,Female,Pottsboro,TX,20874,32669,1433,755,5,Debit,24295,No,2004-03-20,66+
1.76,Chip,Rome,Male,Mesquite,TX,17810,36319,44737,730,4,Credit,12400,Yes,2019-03-12,36-50
83,Swipe,Acworth,Female,Acworth,GA,28862,58846,126806,746,3,Debit,24295,No,2008-02-02,51-65
43.43,Swipe,New York,Male,Highlands,NC,15899,32418,84507,758,4,Credit,12400,No,2001-12-24,51-65
54.93,Swipe,Fort Wayne,Female,Fort Wayne,IN,16764,34181,50668,764,2,Debit,24295,No,2009-12-06,26-35
29.35,Online,ONLINE,Male,Bristol,NH,18972,38681,113190,663,5,Credit,12400,Yes,2008-03-24,51-65
-169,Chip,Newark,Male,Highland,NY,26227,53478,73030,674,3,Debit,24295,No,2016-06-14,36-50
9.07,Chip,Decatur,Female,Parrish,AL,17716,36122,51593,641,2,Debit,21968,No,2016-08-11,36-50
47.92,Swipe,Cleveland,Male,Cleveland,OH,19524,41109,21486,698,2,Debit,24295,No,2003-12-30,66+
47.97,Swipe,Louisville,Male,Louisville,MS,15316,31231,40499,681,3,Debit,21968,No,2009-09-10,36-50
132.49,Swipe,Huntington Station,Female,Huntington Station,NY,34873,71103,136853,721,4,Debit,24295,No,2014-09-01,36-50
22.77,Swipe,Crab Orchard,Male,Charleston,WV,21705,44257,110587,664,2,Debit,24295,No,2008-03-12,51-65
1.36,Swipe,East Peoria,Male,East Peoria,IL,22416,45707,113194,715,3,Debit,24295,No,2008-01-28,51-65
58.62,Chip,Venice,Female,Saint Petersburg,FL,18100,36901,23293,695,4,Debit,21968,No,2015-01-23,26-35
2.3,Swipe,Thonotosassa,Male,Tampa,FL,21033,42886,60474,604,1,Debit,24295,Yes,2006-06-06,36-50
76.83,Online,ONLINE,Female,Meeker,OK,17730,36152,81345,716,1,Debit,24295,Yes,2009-05-18,36-50
607.84,Online,ONLINE,Female,Apex,NC,32485,66230,90248,742,3,Debit,24295,Yes,2016-09-25,51-65
1.76,Online,ONLINE,Male,Claypool,IN,17969,27939,11243,841,5,Debit,46414,Yes,2016-01-05,66+
32.76,Swipe,Mukwonago,Male,Mukwonago,WI,28215,57532,61268,735,4,Debit,24295,No,2008-05-18,36-50
45.24,Online,ONLINE,Female,Short Hills,NJ,137428,280199,91367,752,5,Debit,24295,No,2018-03-17,51-65
-247,Online,ONLINE,Female,Tacoma,WA,16941,11410,0,812,7,Debit,33375,Yes,2002-12-12,66+
28.56,Swipe,Garland,Female,Garland,TX,14535,29637,56446,569,3,Debit,21968,No,2012-12-15,26-35
42.82,Online,ONLINE,Male,Houston,TX,31072,63355,140526,747,5,Debit,46414,No,2013-07-03,66+
10.13,Swipe,Lyndhurst,Male,Gaithersburg,MD,30179,61532,26832,683,4,Debit,21968,No,2012-07-07,51-65
106.16,Chip,Lakewood,Female,Cleveland,OH,27250,55565,34039,731,2,Debit,21968,Yes,2015-07-20,36-50
98.65,Chip,Bronx,Female,Bronx,NY,25537,52065,98613,828,5,Debit,46414,No,2017-09-04,36-50
288,Online,ONLINE,Male,Middletown,NY,22621,38689,8942,836,5,Debit,46414,Yes,2015-12-27,66+
-88,Swipe,Chippewa Falls,Male,Hartsdale,NY,44664,40957,64144,608,4,Credit,12400,No,2010-07-24,51-65
144.53,Online,ONLINE,Female,Dickinson,TX,24217,49374,108192,706,2,Debit,24295,No,2017-08-10,26-35
54.62,Online,ONLINE,Male,Minneapolis,MN,20662,42129,101742,758,4,Debit,24295,Yes,2007-11-15,51-65
49.22,Online,ONLINE,Male,Milpitas,CA,33758,68827,35669,755,2,Debit,24295,Yes,2002-12-19,36-50
43.85,Online,ONLINE,Male,Allendale,SC,11384,23212,25138,799,3,Debit,24295,Yes,2016-05-01,18-25
2.58,Swipe,San Francisco,Female,Miami,FL,19386,23217,2559,616,3,Debit,21968,No,2009-06-28,66+
16.04,Online,ONLINE,Male,Blackville,SC,12387,25257,83995,734,6,Debit,620,Yes,2008-02-25,51-65
0.06,Online,ONLINE,Female,Chicago,IL,14963,30509,56953,641,2,Debit,21968,Yes,2010-05-27,51-65
157.99,Online,ONLINE,Male,Pomona,CA,16025,32678,44434,693,3,Debit,21968,Yes,2016-10-04,51-65
47.11,Online,ONLINE,Male,Keller,TX,0,3,5,750,2,Debit,24295,Yes,2016-12-06,36-50
128.99,Chip,Sacramento,Male,West Sacramento,CA,25234,51454,151162,698,4,Debit,24295,Yes,2015-04-05,36-50
77.08,Online,ONLINE,Female,Colorado Springs,CO,14645,25243,18006,730,6,Credit,12400,Yes,2008-12-25,66+
208.9,Swipe,Strasburg,Male,Lawrence,KS,27149,55351,152645,703,6,Debit,620,Yes,2013-11-16,36-50
88.52,Online,ONLINE,Female,Navarre,FL,20045,29164,19851,625,4,Debit,24295,Yes,2010-06-13,66+
66.09,Online,ONLINE,Male,Pierre Part,LA,23208,47317,42433,680,2,Debit,24295,No,2018-06-11,26-35
30.36,Online,ONLINE,Male,Newburgh,IN,28126,57348,119230,527,3,Debit,21968,No,2015-07-03,36-50
12.08,Swipe,Naples,Female,Naples,FL,25006,50984,65126,616,2,Debit,24295,No,2009-09-20,36-50
110.52,Swipe,Minneapolis,Female,Minneapolis,MN,40364,82298,0,791,4,Debit,21968,No,2013-04-08,36-50
4.46,Swipe,Joplin,Female,Joplin,MO,16574,33793,108196,768,4,Debit,46414,No,2003-04-28,51-65
66.36,Swipe,Algiers,Male,Bluffton,SC,21679,30434,23883,740,7,Debit,620,Yes,2006-07-06,66+
1.76,Chip,Bradenton,Male,Bradenton,FL,29583,44690,2249,733,5,Debit,46414,No,2016-05-03,66+
56.73,Chip,Tampa,Female,Tampa,FL,13254,13596,352,684,4,Debit,21968,No,2016-06-03,66+
183.18,Online,ONLINE,Male,Delphos,OH,18287,37829,20185,658,4,Debit,21968,Yes,2010-10-31,66+
103.13,Online,ONLINE,Female,Wildersville,TN,14435,29433,61260,693,3,Debit,21968,Yes,2008-04-03,26-35
1587.63,Online,ONLINE,Female,Round Rock,TX,30358,61901,29627,726,7,Debit,33375,Yes,2016-11-15,51-65
3.89,Swipe,Thompsons Station,Female,Thompsons Station,TN,27637,56350,120125,808,4,Debit,24295,No,2011-03-16,26-35
1.15,Swipe,Algiers,Male,Bluffton,SC,21679,30434,23883,740,7,Debit,620,Yes,2006-07-08,66+
-298,Online,ONLINE,Male,Cedarville,MI,13053,26613,17008,718,2,Debit,21968,Yes,2007-11-27,36-50
203.34,Swipe,Mobile,Male,New Orleans,LA,17536,35755,61748,708,4,Debit,21968,No,2019-11-13,26-35
53.94,Online,ONLINE,Male,Lake Hopatcong,NJ,34205,69747,80763,741,4,Credit,12400,Yes,2016-07-21,36-50
97.86,Swipe,Apple River,Male,Pana,IL,15676,31957,12347,771,6,Debit,21968,No,2011-11-29,36-50
54.42,Online,ONLINE,Male,Los Angeles,CA,12349,11566,9102,536,4,Debit,24295,Yes,2010-06-28,66+
16.12,Online,ONLINE,Male,Bienville,LA,16760,34172,71366,811,6,Debit,24295,Yes,2013-12-13,66+
39.38,Swipe,Rome,Female,Angier,NC,18340,36052,6602,767,4,Debit,46414,Yes,2018-08-01,66+
4.21,Swipe,Monroe,Male,Monroe,CT,37131,75711,121251,750,1,Debit,24295,No,2014-01-13,36-50
51.17,Online,ONLINE,Female,Alpharetta,GA,45132,92017,157723,703,3,Debit,21968,No,2018-02-11,36-50
14.92,Online,ONLINE,Female,Frankfort,IN,16421,24884,1828,850,6,Debit,24295,Yes,2010-05-28,66+
149.76,Swipe,Clarksville,Male,Clarksville,IN,16097,32820,23004,740,4,Debit,24295,No,2009-12-11,51-65
76.36,Chip,Rome,Male,Rochester,MN,26478,53986,58381,748,4,Debit,24295,Yes,2018-06-07,51-65
106.04,Swipe,Valparaiso,Female,Valparaiso,IN,25472,51938,97252,697,2,Debit,21968,No,2018-03-06,26-35
80,Swipe,Minneapolis,Male,Minneapolis,MN,20662,42129,101742,758,4,Debit,21968,No,2005-11-18,51-65
2.44,Swipe,Tonawanda,Female,Tonawanda,NY,19433,39627,47793,718,4,Debit,24295,No,2010-04-27,36-50
20.79,Online,ONLINE,Female,Bothell,WA,33226,67747,76650,804,3,Debit,46414,Yes,2002-12-08,36-50
104.49,Chip,Oakland,Male,Oakland,CA,52813,107683,225017,694,3,Debit,21968,No,2019-10-21,26-35
448,Online,ONLINE,Male,Willsboro,NY,14415,29388,21221,755,3,Debit,21968,Yes,2016-02-07,51-65
38.24,Online,ONLINE,Female,Glendale,AZ,13024,26556,43042,840,2,Debit,24295,No,2009-03-25,26-35
15.13,Swipe,Annandale,Male,Annandale,VA,30622,62432,95799,741,5,Debit,21968,No,2006-08-14,36-50
78.63,Chip,San Jose,Female,San Jose,CA,51631,52929,37514,737,7,Credit,12400,No,2017-05-20,66+
37.93,Online,ONLINE,Male,Berkeley Heights,NJ,53790,109673,242379,505,1,Debit,24295,No,2018-09-22,51-65
80,Swipe,San Jose,Male,San Martin,CA,26188,44137,22392,626,2,Debit,24295,No,2019-05-14,66+
18.81,Swipe,Crestview,Male,Crestview,FL,19066,38874,64474,672,3,Debit,21968,No,2009-07-15,36-50
23.13,Chip,Lunenburg,Male,Great Barrington,MA,21365,43560,58544,850,5,Debit,46414,No,2019-05-05,36-50
245,Swipe,Algiers,Male,Maywood,IL,15451,22158,19101,681,5,Debit,46414,Yes,2006-03-29,66+
263.12,Online,ONLINE,Female,Bakersville,NC,14093,28733,0,702,3,Debit,24295,Yes,2016-05-08,36-50
134.63,Online,ONLINE,Male,Mission,TX,14275,22104,20031,670,3,Debit,21968,Yes,2016-12-18,66+
38.22,Swipe,Yorba Linda,Female,Yorba Linda,CA,38948,99825,4344,685,4,Debit,24295,No,2007-05-24,66+
9.28,Swipe,Mill Creek,Male,Sammamish,WA,50607,103185,206422,564,1,Debit,24295,No,2012-06-29,51-65
1.19,Swipe,Acworth,Female,Acworth,GA,28862,58846,126806,746,3,Debit,21968,No,2005-10-04,51-65
47.1,Swipe,Ukiah,Female,Ukiah,CA,17899,12044,10323,576,3,Debit,46414,No,2009-06-06,51-65
55.66,Swipe,Sioux Falls,Female,Sioux Falls,SD,21089,31145,5132,689,4,Credit,12400,No,2011-03-28,66+
23.69,Swipe,Unicoi,Female,Roan Mountain,TN,12427,25334,182,696,3,Debit,24295,No,2010-01-28,51-65
26.44,Chip,Hutto,Male,Gonzales,TX,15092,30774,51428,700,3,Debit,46414,No,2017-01-21,36-50
109.01,Online,ONLINE,Male,Oklahoma City,OK,16016,31046,11436,706,6,Credit,12400,Yes,2016-03-27,66+
4.19,Swipe,Sacramento,Female,Sacramento,CA,17435,35553,76077,623,1,Debit,24295,No,2011-11-17,51-65
222,Swipe,Istanbul,Female,Miami,FL,19386,23217,2559,616,3,Debit,46414,Yes,2004-08-20,66+
15.32,Swipe,Rosharon,Male,Rosharon,TX,22856,46603,57177,612,1,Debit,24295,No,2006-07-11,51-65
40.69,Online,ONLINE,Female,Grand Prairie,TX,18334,37384,49182,713,3,Debit,46414,Yes,2016-01-02,26-35
28.33,Online,ONLINE,Male,Chandler,AZ,32056,65357,21844,685,4,Debit,24295,Yes,2016-08-30,51-65
77.44,Online,ONLINE,Male,Cordova,TN,29571,60292,114223,531,1,Debit,24295,No,2019-06-02,51-65
130.35,Swipe,Albany,Female,Valdosta,GA,12672,8526,3723,684,3,Debit,46414,Yes,2015-12-19,66+
139.49,Swipe,Somerville,Female,Somerville,MA,31849,59938,36978,670,1,Debit,24295,No,2005-09-01,66+
31.07,Online,ONLINE,Female,Laurel,MD,35553,72478,63078,728,2,Debit,21968,No,2012-04-26,36-50
157.71,Online,ONLINE,Female,Big Bear Lake,CA,15515,31632,76538,832,3,Debit,46414,Yes,2008-07-18,36-50
-55,Chip,Kansas City,Female,Wellsville,KS,22158,45180,13168,698,2,Debit,21968,No,2020-01-05,26-35
13.85,Online,ONLINE,Female,Pensacola,FL,22247,45360,14587,704,3,Debit,21968,No,2004-04-12,36-50
28.81,Online,ONLINE,Male,Vacaville,CA,26137,33869,370,821,7,Debit,46414,No,2013-02-03,66+
199.28,Online,ONLINE,Female,Myrtle Beach,SC,19025,32817,27209,705,6,Debit,24295,Yes,2016-03-06,66+
25.74,Online,ONLINE,Female,Chicago,IL,14963,30509,56953,641,2,Debit,24295,Yes,2010-03-05,51-65
100,Swipe,Memphis,Male,Cordova,TN,27474,56018,100163,739,2,Debit,24295,No,2009-09-19,26-35
82.31,Online,ONLINE,Male,North Hollywood,CA,15239,28644,879,806,7,Debit,33375,Yes,2010-10-22,66+
4.05,Chip,Santa Cruz,Female,Turlock,CA,22799,46487,57336,635,3,Debit,24295,No,2019-01-01,66+
2.87,Chip,Tucson,Male,Tucson,AZ,17460,35602,55369,661,5,Credit,12400,No,2016-10-05,66+
49.47,Online,ONLINE,Female,Switz City,IN,15285,31170,33165,685,5,Debit,21968,No,2018-03-01,36-50
134.98,Online,ONLINE,Male,San Martin,CA,26188,44137,22392,626,2,Debit,24295,No,2017-02-03,66+
93.75,Swipe,Worcester,Male,Leicester,MA,26137,53287,51026,816,4,Debit,21968,No,2008-07-03,51-65
22.52,Swipe,Gonzales,Female,Gonzales,LA,24703,16620,1140,804,8,Debit,46414,No,2008-03-03,66+
359.99,Online,ONLINE,Female,Elizabeth,NJ,15175,30942,71066,779,3,Debit,46414,Yes,2016-09-04,36-50
-198,Chip,Oakland,Male,Ridgewood,NJ,75378,153691,197377,604,2,Debit,24295,No,2017-04-01,51-65
26.88,Swipe,Reisterstown,Female,Reisterstown,MD,33175,67643,0,714,6,Debit,46414,No,2010-07-19,36-50
29.47,Chip,San Jose,Female,San Jose,CA,51631,52929,37514,737,7,Debit,46414,No,2019-03-06,66+
52.51,Online,ONLINE,Male,Ontario,CA,16113,41904,12545,655,4,Debit,24295,Yes,2016-03-01,51-65
10.38,Chip,Fort Worth,Male,Fort Worth,TX,11876,24215,28552,707,6,Debit,46414,No,2018-06-02,36-50
10.07,Online,ONLINE,Female,Newland,NC,13018,26546,32087,686,5,Credit,12400,No,2019-11-09,51-65
37.89,Swipe,Algonquin,Female,Rockford,IL,18906,38554,47186,708,1,Debit,24295,Yes,2006-03-21,36-50
10.39,Swipe,Ewa Beach,Female,Ewa Beach,HI,22778,42306,472,725,5,Debit,21968,No,2006-02-23,66+
13.88,Swipe,Culver City,Male,Miami,FL,23244,47395,41381,755,2,Debit,24295,No,2009-09-14,36-50
-97,Swipe,Houston,Female,Houston,TX,95039,193773,241571,660,1,Debit,24295,No,2011-10-04,36-50
4.11,Swipe,El Paso,Male,El Paso,TX,12313,25109,92,850,3,Debit,46414,No,2013-06-24,36-50
1.63,Online,ONLINE,Female,Saint George,UT,14470,29510,47153,752,4,Credit,12400,Yes,2009-04-06,36-50
289.24,Online,ONLINE,Female,Chicago,IL,25365,41793,1141,730,5,Debit,21968,Yes,2008-07-17,66+
41.35,Swipe,Glendale,Male,Bronx,NY,13461,27447,80850,673,5,Debit,24295,Yes,2009-01-11,36-50
2065.14,Online,ONLINE,Female,Township Of Washington,NJ,37908,77288,46160,771,4,Credit,12400,Yes,2010-09-17,36-50
197.41,Chip,Rome,Male,Davenport,IA,20599,41997,0,704,3,Debit,24295,Yes,2018-08-23,36-50
4.6,Swipe,Ewa Beach,Female,Ewa Beach,HI,22778,42306,472,725,5,Debit,21968,No,2007-07-11,66+
13.87,Swipe,Daytona Beach,Male,Daytona Beach,FL,13425,27372,54474,612,1,Debit,24295,No,2003-07-08,51-65
112.16,Online,ONLINE,Male,San Antonio,TX,29557,33426,1852,699,4,Debit,21968,Yes,2015-08-25,66+
28.42,Swipe,Fairfield,Female,Appleton,WI,36825,75080,35268,747,3,Debit,46414,Yes,2007-06-10,36-50
84.67,Swipe,Rockwall,Male,Rockwall,TX,34659,70673,87605,714,4,Debit,46414,No,2004-06-06,51-65
143.78,Online,ONLINE,Female,Lincoln,CA,21829,44506,57994,849,3,Debit,46414,Yes,2015-10-02,36-50
2.98,Chip,Baltimore,Female,Baltimore,MD,26431,53890,252106,656,4,Debit,21968,No,2019-01-29,26-35
97.04,Chip,San Francisco,Female,San Francisco,CA,51692,88432,63075,694,6,Debit,46414,No,2019-10-30,66+
280.93,Swipe,Algiers,Male,Bessemer,AL,19851,40473,54899,689,4,Debit,21968,Yes,2005-12-29,36-50
202,Online,ONLINE,Female,Canton,MI,32078,65403,80057,784,4,Debit,24295,Yes,2010-08-12,36-50
0.75,Online,ONLINE,Female,Fort Gibson,OK,18585,27864,1371,591,6,Debit,24295,Yes,2010-05-09,66+
120,Swipe,San Mateo,Female,San Francisco,CA,51692,88432,63075,694,6,Credit,12400,No,2002-06-14,66+
2554.95,Online,ONLINE,Female,Canton,MI,32078,65403,80057,784,4,Debit,24295,Yes,2010-08-09,36-50
95.92,Online,ONLINE,Female,Katy,TX,26422,53878,78143,779,4,Credit,12400,Yes,2010-01-16,51-65
77.14,Online,ONLINE,Male,Mokena,IL,32083,77961,39811,616,3,Debit,21968,Yes,2016-05-01,51-65
199.89,Chip,Rome,Female,Colcord,OK,12517,25524,69401,759,3,Debit,24295,Yes,2018-11-12,36-50
68.19,Online,ONLINE,Male,Howard Beach,NY,26481,53996,98211,632,4,Credit,12400,Yes,2010-09-06,51-65
202,Swipe,Lincoln Park,Male,Crossville,TN,13708,27952,2070,850,3,Debit,24295,No,2008-03-22,36-50
40,Swipe,Nocona,Male,Keller,TX,0,3,5,750,2,Debit,24295,No,2007-06-06,36-50
100,Swipe,Newton Grove,Male,Fayetteville,NC,18376,37468,73448,666,3,Debit,24295,No,2011-12-09,36-50
153.38,Online,ONLINE,Female,Tacoma,WA,16941,11410,0,812,7,Debit,620,Yes,2010-11-28,66+
10.53,Swipe,Pittsfield,Male,Pittsfield,NH,19781,40336,144284,668,4,Debit,24295,No,2013-09-24,36-50
111.5,Swipe,Fremont,Male,Fremont,CA,33727,68765,75608,798,5,Debit,46414,Yes,2009-02-08,66+
315,Online,ONLINE,Female,Palisades Park,NJ,22278,45422,83940,689,4,Debit,24295,Yes,2016-07-26,36-50
287.71,Swipe,Istanbul,Male,Garner,NC,22685,46256,106753,650,3,Debit,21968,Yes,2004-08-13,51-65
0.97,Swipe,San Francisco,Male,San Francisco,CA,22549,47213,1082,789,5,Debit,46414,No,2013-07-01,66+
65.35,Online,ONLINE,Male,Delphos,OH,18287,37829,20185,658,4,Debit,21968,Yes,2010-10-29,66+
100.64,Online,ONLINE,Male,Chicago Heights,IL,16503,38761,69,760,7,Debit,21968,Yes,2003-02-06,66+
205.27,Online,ONLINE,Female,Caldwell,OH,15950,32522,28260,769,2,Debit,24295,Yes,2013-08-02,36-50
40.03,Swipe,Carmichael,Female,Trinidad,CA,15296,22290,9235,716,6,Debit,21968,No,2011-12-13,66+
100,Swipe,Lawrence,Male,Lawrence,KS,27149,55351,152645,703,6,Debit,620,No,2004-08-15,36-50
11.89,Chip,Riverside,Male,Riverside,IA,22308,45475,68358,698,3,Debit,46414,No,2016-06-22,36-50
360.42,Swipe,Rome,Female,Birmingham,AL,13263,16342,1758,747,5,Debit,24295,Yes,2018-04-30,66+
22.18,Swipe,Helena,Female,Eastman,GA,14425,29413,46043,703,2,Debit,21968,No,2013-11-18,51-65
100.52,Online,ONLINE,Female,Newport Coast,CA,96516,196784,437533,729,3,Debit,21968,Yes,2008-09-05,51-65
90.3,Online,ONLINE,Female,Colorado Springs,CO,22185,31942,11845,713,6,Credit,12400,Yes,2003-06-16,66+
